20, 23, 1
14, -6, -1
0, 18, 1
26, 27, 1
10, -8, -1
29, 30, 1
-24, -26, -1
13, 23, 1
8, 16, 1
14, -19, -1
19, 12, -1
23, -16, -1
-10, -4, 1
11, 1, -1
-9, -29, -1
29, 16, -1
23, -6, -1
-13, -9, 1
-29, 25, 1
-28, -15, 1
14, -23, -1
-14, 3, 1
-3, -19, -1
-12, 26, 1
-19, -30, -1
-1, -13, -1
-29, -17, 1
18, -19, -1
-16, 28, 1
28, -3, -1
-5, 27, 1
-14, -2, 1
-11, 12, 1
19, 11, -1
24, -2, -1
-30, -15, 1
8, -29, -1
-29, -25, 1
0, 21, 1
29, 26, -1
-1, 2, 1
-24, -26, -1
15, -17, -1
9, 26, 1
19, 13, -1
15, 6, -1
-30, 24, 1
7, 3, -1
17, 9, -1
25, 7, -1
22, -9, -1
7, 10, 1
-22, -17, 1
-21, 0, 1
-25, -10, 1
-20, -5, 1
7, -2, -1
6, -19, -1
15, -22, -1
4, -19, -1
10, -19, -1
20, 8, -1
-19, -30, -1
-12, 11, 1
-3, -25, -1
-15, -18, -1
-29, 16, 1
-14, 21, 1
4, -6, -1
-10, 14, 1
-3, 6, 1
19, 16, -1
25, 13, -1
0, -28, -1
-16, 24, 1
17, -16, -1
-24, 11, 1
-14, -7, 1
24, -15, -1
-7, -28, -1
-30, -14, 1
0, 13, 1
27, -22, -1
11, -2, -1
26, 30, 1
4, -6, -1
13, -20, -1
-28, -3, 1
21, -18, -1
-26, 4, 1
9, -1, -1
-24, 30, 1
13, 27, 1
-1, 22, 1
-11, 16, 1
-24, 27, 1
-12, -8, 1
-28, 23, 1
-10, 27, 1
25, 28, 1
